case_id,status,employer,soc_name,job_title,full_time,wage
1,WITHDRAWN,"MEDTRONIC, INC.",MECHANICAL ENGINEERS,MECHANICAL ENGINEER,Y,19000
2,CERTIFIED,UNIVERSITY OF OKLAHOMA,"ENGINEERING TEACHERS, POSTSECONDARY",ASSISTANT PROFESSOR,Y,42860
3,WITHDRAWN,NOKIA INC.,"COMPUTER OCCUPATIONS, ALL OTHER*",RELEASE AND SOFTWARE TEST MANAGER,Y,73965
4,CERTIFIED,"OMRON OILFIELD AND MARINE, INC.","ELECTRONICS ENGINEERS, EXCEPT COMPUTER",CONTROL ENGINEERING SPECIALIST,Y,65998
5,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CO.,COMPUTER PROGRAMMERS,DEVELOPMENT SENIOR,Y,96907
6,WITHDRAWN,"APLARS, LLC",MARKET RESEARCH ANALYSTS,BUSINESS ANALYST,Y,20000
7,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",STAFF ENGINEER,Y,133976
8,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,OPERATIONS RESEARCH ANALYSTS,CREDIT GUARANTEE ANALYTICS SENIOR,Y,64085
9,CERTIFIED,"VMWARE, INC.",COMPUTER SYSTEMS ANALYSTS,PROGRAMMER/ANALYST - SENIOR APPLICATIONS DEVELOPER,Y,101900
10,DENIED,IMAEX TRADING COMPANY,ACCOUNTANTS AND AUDITORS,COST ACCOUNTANT,N,46716.8
11,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,98557
12,DENIED,"LHB, INC.",ACCOUNTANTS AND AUDITORS,F,Y,345000
13,DENIED,"INTERNATIONAL SOLUTIONS GROUP, INC.",COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,66976
14,CERTIFIED,"VMWARE, INC.","COMPUTER OCCUPATIONS, ALL OTHER",SENIOR MEMBER OF TECHNICAL STAFF - QUALITY ENGINEERING,Y,111742
15,CERTIFIED,IT CATS LLC,COMPUTER SYSTEMS ANALYSTS,SENIOR BUSINESS ANALYST,Y,109116.8
16,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,113775
17,CERTIFIED-WITHDRAWN,VF CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER (DIGITAL/ECOMMERCE),Y,110300
18,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYSIS SENIOR,Y,75200
19,WITHDRAWN,"LANDRY'S RESTAURANTS, INC.",FOOD SERVICE MANAGERS,GENERAL MANAGER,Y,89569
20,WITHDRAWN,"LANDRY'S RESTAURANTS, INC.",FOOD SERVICE MANAGERS,GENERAL MANAGER,Y,56722
21,CERTIFIED,PARSONS SERVICES COMPANY,DATABASE ADMINISTRATORS,SENIOR IT SPECIALIST,Y,108472
22,CERTIFIED-WITHDRAWN,DELPHI CORPORATION,ELECTRICAL ENGINEERS,ALGORITHM-STATE ESTIMATION DEVELOPMENT ENGINEER,Y,91936
23,WITHDRAWN,DAIRY INFORMATION SYSTEMS HOLDINGS LLC,COMPUTER SYSTEMS ANALYSTS,APPLICATIONS PROGRAMMING MANAGER,Y,94411
24,CERTIFIED-WITHDRAWN,"INTEGRATED RESOURCES, INC",OCCUPATIONAL THERAPISTS,OCCUPATIONAL THERAPISTS,Y,68577.6
25,CERTIFIED-WITHDRAWN,"XPERT TECHNOLOGIES, INC.","COMPUTER OCCUPATIONS, ALL OTHER*",QUALITY ASSURANCE ANALYST,Y,58282
26,CERTIFIED,"ISR INFO WAY, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SR. SOFTWARE DEVELOPER,Y,84906
27,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,OPERATIONS RESEARCH ANALYSTS,CREDIT GUARANTEE ANALYTICS SENIOR,Y,64085
28,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,DATABASE ADMINISTRATORS,SHARED INFORMATION SUPPORT SENIOR,Y,90800
29,CERTIFIED,MAGIC CIRCLE FILMS INTERNATIONAL LLC,FILM AND VIDEO EDITORS,VIDEO EDITOR,Y,39333
30,WITHDRAWN,SAPHIRE SOLUTIONS INC,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,SYSTEMS ADMINISTRATOR,Y,68638
31,CERTIFIED,SWANKTEK INC,COMPUTER SYSTEMS ANALYSTS,BI APPLICATIONS CONSULTANT,Y,66602
32,CERTIFIED,"SUNERA TECHNOLOGIES, INC",COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,61901
33,WITHDRAWN,NATIONAL SEMICONDUCTOR CORPORATION,ELECTRICAL ENGINEERS,SENIOR APPLICATIONS ENGINEER,Y,75899
34,CERTIFIED,AMENSYS INC,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,55744
35,CERTIFIED-WITHDRAWN,"AKT, LLC.",COMPUTER PROGRAMMERS,JAVA DEVELOPER,Y,51210
36,CERTIFIED-WITHDRAWN,"EXLSERVICE.COM, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,ASSISTANT VICE PRESIDENT - DECISION ANALYTICS,Y,99715
37,WITHDRAWN,"H & H RESOURCES, INC.",CIVIL ENGINEERS,GRADUATE ENGINEER,Y,52865
38,DENIED,"LHB, INC.",STATISTICIANS,SITE OPERATIONS MANAGER,Y,20000
39,CERTIFIED,LIANG LLC,FINANCIAL ANALYSTS,FINANCIAL ANALYST,N,49108.8
40,CERTIFIED,BANK OF THE WEST,"SOFTWARE DEVELOPERS, APPLICATIONS",JAVA DEVELOPER,Y,84781
41,CERTIFIED,"CONSULTWEBS.COM, INC.",COMPUTER PROGRAMMERS,VICE PRESIDENT (PROGRAMMING),Y,67371
42,CERTIFIED,JARDEN CORPORATION,"SOFTWARE DEVELOPERS, APPLICATIONS",LEAD PEOPLESOFT PROGRAMMER/ANALYST,Y,102066
43,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,113775
44,CERTIFIED,"EMINENCE IT SOLUTIONS, INC.",ENVIRONMENTAL ENGINEERS,"STAFF II, ENVIRONMENTAL STAFF ENGINEER",Y,62504
45,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,98557
46,CERTIFIED-WITHDRAWN,WASHINGTON STATE UNIVERSITY,"BIOLOGICAL SCIENTISTS, ALL OTHER",TECHNICAL TRANSFER SPECIALIST,Y,39166
47,CERTIFIED-WITHDRAWN,CALIFORNIA INSTITUTE OF TECHNOLOGY,MATHEMATICIANS,RESEARCHER,Y,47320
48,CERTIFIED,UNIVERSITY OF TEXAS AT EL PASO,PUBLIC RELATIONS SPECIALISTS,PROGRAM COORDINATOR,Y,33987
49,CERTIFIED,AIMIC INC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,47431
50,CERTIFIED-WITHDRAWN,SARAYU CONSULTANTS INC,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,65707
51,WITHDRAWN,THE VALDEN GROUP,ECONOMISTS,TRADE ANALYST/ECONOMIST,Y,45739
52,CERTIFIED,TRANS AMERICAN INFORMATION SYSTEMS INC,"COMPUTER OCCUPATIONS, ALL OTHER",E-COMMERCE QA ANALYST,Y,57678
53,CERTIFIED,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,STATISTICIANS,RESEARCH BIOSTATISTICIAN,Y,47133
54,CERTIFIED,"LLAMASOFT, INC.",OPERATIONS RESEARCH ANALYSTS,APPLIED RESEARCH SCIENTIST,Y,80018
55,CERTIFIED,E.I. DU PONT DE NEMOURS AND COMPANY,MECHANICAL ENGINEERS,MECHANICAL ENGINEERING CONSULTANT,Y,96013
56,DENIED,"INTERNATIONAL SOLUTIONS GROUP, INC.",COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,70013
57,DENIED,"INTERNATIONAL SOLUTIONS GROUP, INC.",COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,69056
58,CERTIFIED-WITHDRAWN,MAP-IT SOLUTIONS INC,MANAGEMENT ANALYSTS,BUSINESS ANALYST,Y,60216
59,WITHDRAWN,SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.,"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",SOFTWARE QA STAFF ENGINEER (TEST/VERIFICATION),Y,71386
60,CERTIFIED-WITHDRAWN,MAP-IT SOLUTIONS INC,SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS,QUALITY ANALYST,Y,43181
61,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,113775
62,CERTIFIED,CCH INCORPORATED,"SOFTWARE DEVELOPERS, APPLICATIONS",PROGRAMMER ANALYST III,Y,98333
63,CERTIFIED-WITHDRAWN,"HEALTH LANGUAGE, INC.",BIOMEDICAL ENGINEERS,SENIOR PRODUCT SUPPORT CONSULTANT,Y,72530
64,CERTIFIED-WITHDRAWN,CCH INCORPORATED,"SOFTWARE DEVELOPERS, APPLICATIONS",APPLICATIONS DEVELOPER III,Y,69659
65,CERTIFIED-WITHDRAWN,WINDYCITY TECHNOLOGIES INC,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER*",BUSINESS  ANALYST,Y,59966
66,CERTIFIED,AIMIC INC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,47431
67,CERTIFIED,AIMIC INC,COMPUTER SYSTEMS ANALYSTS,SOFTWARE ENGINEER,Y,60507
68,WITHDRAWN,"TECHNIP USA, INC.",MECHANICAL ENGINEERS,SENIOR SPECIALIST,Y,82700
69,WITHDRAWN,CHICAGO BRIDGE & IRON COMPANY (DELAWARE),ELECTRICAL ENGINEERS,SR. ELECTRICAL DESIGNER II,Y,68247
70,CERTIFIED-WITHDRAWN,WEST FOURTH & PERRY LTD.,INTERIOR DESIGNERS,INTERIOR DESIGNER,N,42764.8
71,WITHDRAWN,"BROKEN HILL PROPRIETARY (USA), INC.",LOGISTICIANS,DISTRIBUTION ADMINISTRATOR,Y,46987
72,WITHDRAWN,"TECHNIP USA, INC.",MECHANICAL ENGINEERS,SENIOR DEEPWATER RISER ENGINEER,Y,80392
73,CERTIFIED-WITHDRAWN,"WS ATKINS, INC.",CIVIL ENGINEERS,ASSISTANT CFD CONSULTANT,Y,64400
74,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,OPERATIONS RESEARCH ANALYSTS,SECURITIES MODELING PROFESSIONAL,Y,64085
75,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,INFORMATION SECURITY SENIOR,Y,85600
76,CERTIFIED,TRANS AMERICAN INFORMATION SYSTEMS INC,"SOFTWARE DEVELOPERS, APPLICATIONS",ATG DEVELOPER,Y,79747
77,CERTIFIED-WITHDRAWN,FEDERAL HOME LOAN MORTGAGE CORPORATION,ACCOUNTANTS AND AUDITORS,INTERNAL AUDIT PROFESSIONAL,Y,55286
78,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,OPERATIONS RESEARCH ANALYSTS,RISK MODELING SENIOR,Y,64085
79,CERTIFIED-WITHDRAWN,THE JOHNS HOPKINS UNIVERSITY,BIOLOGICAL TECHNICIANS,RESEARCH TECHNOLOGIST,Y,27768
80,WITHDRAWN,SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.,OPERATIONS RESEARCH ANALYSTS,REGIONAL BUSINESS MANAGER,Y,54912
81,CERTIFIED,E.I. DU PONT DE NEMOURS AND COMPANY,AGRICULTURAL ENGINEERS,"RESEARCH INVESTIGATOR, APPLICATION TECHNOLOGY",Y,68370
82,WITHDRAWN,THE CITY OF FORT WORTH,FORENSIC SCIENCE TECHNICIANS,FORENSIC DIVISION MANAGER,Y,58864
83,CERTIFIED-WITHDRAWN,"UNIVERSAL TAX SYSTEMS, INC.",FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS,FIELD SALES REP,Y,48589
84,CERTIFIED-WITHDRAWN,CCH INCORPORATED,"SOFTWARE DEVELOPERS, APPLICATIONS",IT ARCHITECT,Y,85738
85,WITHDRAWN,BROADCOM CORPORATION,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","ENGINEER, PRINCIPAL - IC DESIGN",Y,131019
86,CERTIFIED-WITHDRAWN,"AIG PC GLOBAL SERVICES, INC.",FINANCIAL MANAGERS,"DIRECTOR, SCIENCE CONSUMER",Y,141835
87,CERTIFIED,"VMWARE, INC.","COMPUTER OCCUPATIONS, ALL OTHER",MEMBER OF TECHNICAL STAFF - QUALITY ENGINEERING,Y,97503
88,CERTIFIED,E.I. DU PONT DE NEMOURS AND COMPANY,ENVIRONMENTAL ENGINEERS,"RESEARCH INVESTIGATOR, RESIDUE FIELD STUDY",Y,82347
89,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,"COMPUTER OCCUPATIONS, ALL OTHER",RELEASE MANAGEMENT SENIOR,Y,79100
90,CERTIFIED,"LANYON SOLUTIONS, INC.",ACCOUNTANTS AND AUDITORS,ACCOUNTANT,Y,44500
91,CERTIFIED-WITHDRAWN,CT CORPORATION SYSTEM,ACCOUNTANTS AND AUDITORS,BUSINESS PROCESS ANALYST II,Y,74110
92,WITHDRAWN,CHICAGO BRIDGE & IRON COMPANY (DELAWARE),ELECTRICAL ENGINEERS,SENIOR ELECTRICAL ENGINEER I,Y,77738
93,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,OPERATIONS RESEARCH ANALYSTS,FINANCIAL MODEL DEVELOPMENT SENIOR,Y,64085
94,CERTIFIED-WITHDRAWN,VINSYS INFORMATION TECHNOLOGY INC,COMPUTER PROGRAMMERS,SOFTWARE PROGRAMMER,Y,49546
95,CERTIFIED-WITHDRAWN,VINSYS INFORMATION TECHNOLOGY INC,"COMPUTER SOFTWARE ENGINEERS, SYSTEMS SOFTWARE",SOFTWARE ENGINEER,Y,66581
96,CERTIFIED,CONOCOPHILLIPS COMPANY,PETROLEUM ENGINEERS,RESERVOIR ENGINEERING ADVISOR,Y,197954
97,CERTIFIED-WITHDRAWN,FEDERAL HOME LOAN MORTGAGE CO.,OPERATIONS RESEARCH ANALYSTS,RISK MODELING SENIOR,Y,64085
98,CERTIFIED,"T-MOBILE USA, INC.",DATABASE ADMINISTRATORS,"SENIOR ENGINEER, SOFTWARE APPLICATIONS",Y,95594
99,CERTIFIED,PHILLIPS 66 COMPANY,MATERIALS SCIENTISTS,ASSOCIATE ENGINEER,Y,40706
100,CERTIFIED,"ISR INFO WAY, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE ENGINEER,Y,74776
101,CERTIFIED-WITHDRAWN,CONOCOPHILLIPS COMPANY,"GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS",PRINCIPAL GEOLOGIST,Y,91520
102,CERTIFIED-WITHDRAWN,JOHNS HOPKINS UNIVERSITY,BIOLOGICAL TECHNICIANS,RESEARCH TECHNOLOGIST,Y,27768
103,CERTIFIED,"INFORMATION MANAGEMENT SERVICES, INC.",STATISTICIANS,STATISTICIAN,Y,73050
