case_id,year,city,state
1,2015,EDEN PRAIRIE, CALIFORNIA
2,2015,NORMAN, OKLAHOMA
3,2015,SAN DIEGO, CALIFORNIA
4,2015,HOUSTON, TEXAS
5,2015,MCLEAN, VIRGINIA
6,2015,SIT, LOUISIANA
7,2015,PALO ALTO, CALIFORNIA
8,2015,MCLEAN, VIRGINIA
9,2015,PALO ALTO, CALIFORNIA
10,2015,SUWANEE, GEORGIA
11,2015,PALO ALTO, CALIFORNIA
12,2015,2 WORK, MAINE
13,2015,MIDDLETOWN, DELAWARE
14,2015,PALO ALTO, CALIFORNIA
15,2015,NORTH WALES, PENNSYLVANIA
16,2015,PALO ALTO, CALIFORNIA
17,2015,CYPRESS, CALIFORNIA
18,2015,RESTON, VIRGINIA
19,2015,HOUSTON, TEXAS
20,2015,ALBUQUERQUE, NEW MEXICO
21,2015,PASADENA, CALIFORNIA
22,2015,AGOURA HILLS, CALIFORNIA
23,2015,ENGLEWOOD, COLORADO
24,2015,VINELAND, NEW JERSEY
25,2015,CAMP HILL, PENNSYLVANIA
26,2015,CHICAGO, ILLINOIS
27,2015,MCLEAN, VIRGINIA
28,2015,MCLEAN, VIRGINIA
29,2015,AUBURN, NEW YORK
30,2015,BETHPAGE, NEW YORK
31,2015,SAN JOSE, CALIFORNIA
32,2015,TROY, MICHIGAN
33,2015,LONGMONT, COLORADO
34,2015,NASHVILLE, TENNESSEE
35,2015,COLUMBUS, OHIO
36,2015,JERSEY CITY, NEW JERSEY
37,2015,SUGAR LAND, TEXAS
38,2015,2 BARK, LOUISIANA
39,2015,CARBONDALE, ILLINOIS
40,2015,MONTEREY PARK, CALIFORNIA
41,2015,RALEIGH, NORTH CAROLINA
42,2015,BOCA RATON, FLORIDA
43,2015,PALO ALTO, CALIFORNIA
44,2015,IRVING, TEXAS
45,2015,PALO ALTO, CALIFORNIA
46,2015,PROSSER, WASHINGTON
47,2015,PASADENA, CALIFORNIA
48,2015,EL PASO, TEXAS
49,2015,BUFFALO, NEW YORK
50,2015,CHARLOTTE, NORTH CAROLINA
51,2015,LAREDO, TEXAS
52,2015,CORTE MADERA, CALIFORNIA
53,2015,OKLAHOMA CITY, OKLAHOMA
54,2015,ANN ARBOR, MICHIGAN
55,2015,WILMINGTON, DELAWARE
56,2015,CHANDLER, ARIZONA
57,2015,WASHINGTON, DISTRICT OF COLUMBIA
58,2015,SAN JOSE, CALIFORNIA
59,2015,REDWOOD CITY, CALIFORNIA
60,2015,STERLING, VIRGINIA
61,2015,PALO ALTO, CALIFORNIA
62,2015,TORRANCE, CALIFORNIA
63,2015,DENVER, COLORADO
64,2015,IOWA CITY, IOWA
65,2015,NEW BRUNSWICK, NEW JERSEY
66,2015,BUFFALO, NEW YORK
67,2015,CHARLOTTE, NORTH CAROLINA
68,2015,HOUSTON, TEXAS
69,2015,HOUSTON, TEXAS
70,2015,NEW YORK, NEW YORK
71,2015,PITTSBURGH, PENNSYLVANIA
72,2015,HOUSTON, TEXAS
73,2015,HOUSTON, TEXAS
74,2015,MCLEAN, VIRGINIA
75,2015,RESTON, VIRGINIA
76,2015,RICHARDSON, TEXAS
77,2015,MCLEAN, VIRGINIA
78,2015,MCLEAN, VIRGINIA
79,2015,BALTIMORE, MARYLAND
80,2015,ATLANTA, GEORGIA
81,2015,NEWARK, DELAWARE
82,2015,FORT WORTH, TEXAS
83,2015,DAVIE, FLORIDA
84,2015,WICHITA, KANSAS
85,2015,SUNNYVALE, CALIFORNIA
86,2015,NEW YORK, NEW YORK
87,2015,PALO ALTO, CALIFORNIA
88,2015,NEWARK, DELAWARE
89,2015,RESTON, VIRGINIA
90,2015,DALLAS, TEXAS
91,2015,NEW YORK, NEW YORK
92,2015,PLAINFIELD, ILLINOIS
93,2015,MCLEAN, VIRGINIA
94,2015,JERSEY CITY, NEW JERSEY
95,2015,MOUNT LAUREL, NEW JERSEY
96,2015,HOUSTON, TEXAS
97,2015,MCLEAN, VIRGINIA
98,2015,PARSIPPANY, NEW JERSEY
99,2015,BARTLESVILLE, OKLAHOMA
100,2015,CHARLOTTE, NORTH CAROLINA
101,2015,HOUSTON, TEXAS
102,2015,BALTIMORE, MARYLAND
103,2015,ROCKVILLE, MARYLAND
104,2015,HOUSTON, TEXAS
105,2015,DALLAS, TEXAS
106,2015,LITTLETON, COLORADO
107,2015,WASHINGTON, DISTRICT OF COLUMBIA
108,2015,HOUSTON, TEXAS
109,2015,LOUISVILLE, KENTUCKY
110,2015,ATLANTA, GEORGIA
111,2015,DALLAS, TEXAS
112,2015,DALLAS, TEXAS
113,2015,SCOTTSDALE, ARIZONA
114,2015,PRINCETON, NEW JERSEY
115,2015,DANBURY, CONNECTICUT
116,2015,WOONSOCKET, RHODE ISLAND
117,2015,STAMFORD, CONNECTICUT
118,2015,LOUISVILLE, KENTUCKY
119,2015,CHICAGO, ILLINOIS
120,2015,SCHENECTADY, NEW YORK
121,2015,NEW YORK, NEW YORK
122,2015,SEATTLE, WASHINGTON
123,2015,NORTH KANSAS CITY, MISSOURI
124,2015,ATLANTA, GEORGIA
125,2015,ATLANTA, GEORGIA
126,2015,CONCORD, CALIFORNIA
127,2015,SIOUX FALLS, SOUTH DAKOTA
128,2015,NORWALK, CONNECTICUT
129,2015,PHOENIX, ARIZONA
130,2015,FRESNO, CALIFORNIA
131,2015,MCLEAN, VIRGINIA
132,2015,JACKSONVILLE, FLORIDA
133,2015,JACKSONVILLE, FLORIDA
134,2015,PHOENIX, ARIZONA
135,2015,JACKSONVILLE, FLORIDA
136,2015,COLLEGEVILLE, PENNSYLVANIA
137,2015,WICKLIFFE, OHIO
138,2015,JERSEY CITY, NEW JERSEY
139,2015,REDWOOD CITY, CALIFORNIA
140,2015,BLOOMFIELD, CONNECTICUT
141,2015,SEATTLE, WASHINGTON
142,2015,WESTERVILLE, OHIO
143,2015,SEATTLE, WASHINGTON
144,2015,MALVERN, PENNSYLVANIA
145,2015,JEFFERSON CITY, MISSOURI
146,2015,SEATTLE, WASHINGTON
147,2015,REDMOND, WASHINGTON
148,2015,MALVERN, PENNSYLVANIA
149,2015,WOODLAND HILLS, CALIFORNIA
150,2015,WINDSOR, CONNECTICUT
151,2015,PHOENIX, ARIZONA
152,2015,DANBURY, CONNECTICUT
153,2015,BELLEVUE, WASHINGTON
154,2015,PHOENIX, ARIZONA
155,2015,CHICAGO, ILLINOIS
156,2015,BETHESDA, MARYLAND
157,2015,SAN FRANCISCO, CALIFORNIA
158,2015,WEST PLAINS, MISSOURI
159,2015,APOPKA, FLORIDA
160,2015,PRINCETON, NEW JERSEY
161,2015,HOPKINS, MINNESOTA
162,2015,WEST READING, PENNSYLVANIA
163,2015,HOUSTON, TEXAS
164,2015,RICHMOND, VIRGINIA
165,2015,PALO ALTO, CALIFORNIA
166,2015,PALO ALTO, CALIFORNIA
167,2015,BETHPAGE, NEW YORK
168,2015,IRVINE, CALIFORNIA
169,2015,DURANT, IOWA
170,2015,HOUSTON, TEXAS
171,2015,HOUSTON, TEXAS
172,2015,HOUSTON, TEXAS
173,2015,GROTON, CONNECTICUT
174,2015,SAN ANTONIO, TEXAS
175,2015,MCLEAN, VIRGINIA
176,2015,SAN ANTONIO, TEXAS
177,2015,SAN ANTONIO, TEXAS
178,2015,WARREN, NEW JERSEY
179,2015,OLDSMAR, FLORIDA
180,2015,NEW YORK, NEW YORK
181,2015,AUSTIN, TEXAS
182,2015,WARSAW, INDIANA
183,2015,HOUSTON, TEXAS
184,2015,WILMINGTON, DELAWARE
185,2015,TEMPE, ARIZONA
186,2015,BALTIMORE, MARYLAND
187,2015,PALO ALTO, CALIFORNIA
188,2015,PHOENIX, ARIZONA
189,2015,IRVING, TEXAS
190,2015,HOUSTON, TEXAS
191,2015,IRVING, TEXAS
192,2015,FRISCO, TEXAS
193,2015,IRVING, TEXAS
194,2015,RICHARDSON, TEXAS
195,2015,VIENNA, VIRGINIA
196,2015,PROVIDENCE, RHODE ISLAND
197,2015,PALO ALTO, CALIFORNIA
198,2015,LOUISVILLE, KENTUCKY
199,2015,NEW YORK, NEW YORK
200,2015,NAPERVILLE, ILLINOIS
201,2015,BLOOMINGTON, INDIANA
202,2015,NORWALK, CONNECTICUT
203,2015,NORWALK, CONNECTICUT
204,2015,BLOOMFIELD, CONNECTICUT
205,2015,BENSALEM, PENNSYLVANIA
206,2015,NORWALK, CONNECTICUT
207,2015,PHILADELPHIA, PENNSYLVANIA
208,2015,MALVERN, PENNSYLVANIA
209,2015,NEW YORK, NEW YORK
210,2015,FRAMINGHAM, MASSACHUSETTS
